Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,area_comfort
110000.0,2.0,1735.0,1.0,12.0,2003.0,69.0,37.0,14.0,Вільямса,18.0
92000.0,2.0,1686.8,18.0,26.0,2009.0,69.0,37.0,31.0,Бойчука,1.0
101000.0,1.0,1772.0,33.0,36.0,2009.0,57.0,37.0,14.0,Перемоги,6.0
849000.0,2.0,1550.0,8.0,18.0,2001.0,69.0,37.0,14.0,Ковпака,18.0
85000.0,2.0,1545.0,6.0,16.0,1973.0,55.0,22.0,7.0,Русанівський,26.0
330000.0,3.0,2481.0,7.0,21.0,2010.0,133.0,70.0,22.0,Українки,41.0
33900.0,1.0,1169.0,4.0,5.0,1969.0,29.0,16.0,7.0,Празька,6.0
165000.0,4.0,2062.0,4.0,4.0,2009.0,80.0,56.0,11.0,Гончара,13.0
270000.0,2.0,3333.0,11.0,13.0,2019.0,81.0,32.0,20.0,Маккейна,29.0
40000.0,1.0,995.0,14.0,25.0,2009.0,69.0,37.0,12.0,Балтійський,20.0
104000.0,1.0,2122.0,13.0,26.0,2015.0,49.0,25.0,14.0,Білоруська,10.0
75000.0,1.0,1442.0,4.0,25.0,2016.0,52.0,18.0,14.0,Драгоманова,20.0
115000.0,2.0,1613.0,4.0,25.0,2009.0,69.0,37.0,14.0,Липківського,18.0
58000.0,1.0,1758.0,8.0,9.0,1972.0,33.0,19.0,14.0,Новогоспітальна,0.0
30540.0,1.0,1021.4,9.0,26.0,2009.0,69.0,37.0,14.0,Радченка,18.0
259999.0,5.0,1625.0,5.0,6.0,1936.0,160.0,85.0,40.0,Богомольця,35.0
140000.0,3.0,1842.0,26.0,26.0,2016.0,76.0,49.0,10.0,Донця,17.0
160000.0,2.0,2078.0,3.0,26.0,2009.0,77.0,36.0,13.0,Оболонський,28.0
200714.3,4.0,2007.1,2.0,2.0,2009.0,100.0,80.0,20.0,Щекавицька,0.0
65000.0,3.0,1048.0,3.0,9.0,1960.0,62.0,43.0,9.0,Пожарського,10.0
74000.0,3.0,1000.0,7.0,9.0,1975.0,74.0,48.0,8.0,Полкова,18.0
67000.0,2.0,1218.0,3.0,16.0,1993.0,55.0,30.0,8.0,Палладіна,17.0
110000.0,2.0,1630.0,12.0,24.0,2009.0,69.0,37.0,37.0,Бойчука,0.0
127000.0,2.0,1512.0,14.0,24.0,2018.0,84.0,43.0,14.0,Липківського,27.0
180000.0,2.0,1915.0,4.0,10.0,2005.0,94.0,45.0,15.0,Павлівська,34.0
63000.0,3.0,875.0,3.0,9.0,1977.0,72.0,45.0,7.0,Івашкевича,20.0
42900.0,2.0,998.0,1.0,5.0,2009.0,43.0,29.0,14.0,Іскрівська,0.0
95000.0,3.0,1234.0,16.0,25.0,2017.0,77.0,45.0,12.0,Максимовича,20.0
255000.0,4.0,2318.0,3.0,4.0,1900.0,110.0,68.0,13.0,Максимовича,29.0
100357.1,2.0,1593.0,6.0,30.0,2009.0,63.0,35.0,8.0,Драгомирова,20.0
115000.0,1.0,2614.0,2.0,7.0,2019.0,44.0,14.0,21.0,Теремківська,9.0
113300.0,3.0,1218.0,15.0,21.0,2009.0,93.0,55.0,11.0,Осокорська,27.0
268000.0,4.0,1381.0,18.0,20.0,2010.0,194.0,93.0,35.0,Дмитрівська,66.0
140000.0,3.0,1273.0,3.0,26.0,2009.0,110.0,37.0,14.0,Кондратюка,59.0
146000.0,3.0,1718.0,1.0,9.0,2015.0,85.0,40.0,17.0,Регенераторна,28.0
63000.0,3.0,900.0,23.0,23.0,2009.0,70.0,34.0,14.0,Регенераторна,22.0
495000.0,3.0,3367.0,14.0,23.0,2014.0,147.0,50.0,40.0,Глибочицька,57.0
275000.0,3.0,2644.0,5.0,24.0,2008.0,104.0,70.0,14.0,Героїв Сталінграда,20.0
73500.0,2.0,1361.0,2.0,9.0,1966.0,54.0,32.0,8.0,Борщагівська,14.0
57000.0,2.0,1056.0,7.0,26.0,2009.0,54.0,28.0,9.0,Ревуцького,17.0
121860.0,2.0,1741.0,2.0,9.0,2018.0,70.0,45.0,14.0,Юнацька,11.0
73000.0,2.0,1000.0,21.0,25.0,2009.0,73.0,37.0,14.0,Заболотного,22.0
39000.0,1.0,1147.0,3.0,5.0,1960.0,34.0,18.0,8.0,Автозаводська,8.0
92284.0,2.0,1138.0,6.0,34.0,2009.0,69.0,37.0,14.0,Заболотного,18.0
210000.0,2.0,1736.0,14.0,24.0,2008.0,121.0,60.0,30.0,Саксаганського,31.0
139900.0,4.0,1260.0,6.0,9.0,2009.0,111.0,37.0,14.0,Зарічна,60.0
145000.0,2.0,1686.0,17.0,23.0,2005.0,86.0,48.0,12.0,Зарічна,26.0
76000.0,3.0,1086.0,6.0,9.0,1980.0,70.0,34.0,10.0,Героїв Сталінграда,26.0
796000.0,4.0,4020.0,7.0,15.0,2009.0,198.0,65.0,67.0,Драгомирова,66.0
97926.0,1.0,1900.0,9.0,30.0,2009.0,69.0,37.0,14.0,Драгомирова,18.0
46000.0,1.0,1438.0,2.0,5.0,1963.0,32.0,19.0,6.0,Гавела,7.0
115000.0,3.0,1135.0,13.0,25.0,2004.0,69.0,37.0,14.0,Здолбунівська,18.0
430000.0,3.0,3909.0,8.0,22.0,2014.0,110.0,62.0,14.0,Драгомирова,34.0
3210000.0,5.0,8025.0,10.0,10.0,1961.0,400.0,250.0,50.0,Мечнікова,100.0
127900.0,2.0,1776.0,13.0,24.0,2017.0,72.0,35.0,17.0,Максимовича,20.0
75000.0,2.0,1250.0,4.0,5.0,1938.0,60.0,45.0,9.0,Багговутівська,6.0
90005.0,2.0,1915.0,8.0,15.0,2009.0,47.0,17.0,20.0,Шолуденка,10.0
284999.0,2.0,3202.0,3.0,18.0,2005.0,89.0,50.0,16.0,Щекавицька,23.0
51000.0,3.0,850.0,2.0,9.0,1972.0,60.0,40.0,6.0,Коласа,14.0
320000.0,3.0,3107.0,8.0,24.0,2013.0,103.0,37.0,16.0,Коласа,50.0
43000.0,2.0,782.0,24.0,26.0,2009.0,55.0,37.0,11.0,Коласа,7.0
91000.0,1.0,1750.0,33.0,35.0,2009.0,52.0,20.0,22.0,Перемоги,10.0
185000.0,2.0,2256.0,6.0,9.0,2009.0,82.0,35.0,24.0,Перемоги,23.0
49990.0,3.0,757.0,8.0,9.0,1976.0,66.0,45.0,8.0,Наумова,13.0
89000.0,1.0,2342.0,7.0,15.0,2009.0,38.0,20.0,7.0,Перемоги,11.0
170000.0,2.0,2656.0,5.0,7.0,1948.0,64.0,37.0,9.0,Велика Васильківська,18.0
46500.0,2.0,1011.0,5.0,5.0,1963.0,46.0,31.0,7.0,Вишгородська,8.0
